SMS Translation,SMS Language,Category,Subcategory
"Welcome to you Snapdeal online shop pvt Ltd.co Dear sir Congratulation your product order home shopping result be out your name have select in the luckky draw.you have two option X st be Tata safari 2nd be Payment of Rs 12,60000 The charge of REGISTRATION Service be RS XXXX The charge of TR paper charge only RS XXXXX valid upto 21/12/2018 for more detail contact us at XXXXXXXXXXX detail 24X7 Toll free no XXXXXXXXXXXX X SMS 9:14 be",en,Fraud,financial
Fast Cash Fund .. Pawn BPKB Car Truck Cashback X million Official Leasing Can T.Over NISSA XXXXXXXXXXXX Wa bit.ly/infoAgunanBPKB,id,Ads,loan/gamble
ING BANK Dear customer the new year mean a new card Request your new debit card completely free of charge before February 15th via http //cutit.org/XzOnm,nl,Fraud,credit/debit card
MBBVA ALERTS We inform you that you have receive a transfer in your favor we invite you to confirm to access your BBVA online on the web www.BBVAc.es,es,Fraud,financial
Get your CAR INSPECTED for FREE today and know the best price for your car CARS24 http //bit.ly/2HQmOk4,en,Ads,promo
Your Apple ID have be lock for security reason please visit http // idapplecs.page.link CS910381003 and verify your self,en,Fraud,account alert
Unlimited E-Commerce hosting SSL Fixed IP TEMA Virtual Pos Live Support all in one 1000TL Instead of 2500TL http //bit.ly/ 2u9Vip7 For cancellation RDX PRT XXXX B231,tr,Ads,promo
Today 11:33 AM X of X FRM NAPA AUTO MSG Do n't you wish to earn more than XXX extra income weekly Why delay Get start by apply our sticker on your Co n't X of X vehicle to start get pay Send YES for detail now End,en,Ads,promo
HONDA ADV to bring you back NEW NORMAL type POIN BOLA to XXXXX Now Poin km XXX http //bit.ly/2Pyh2Yw CS XXXXXXXXXXXX,id,Ads,promo
Sorry you be already register with Mesra 3sms week XXXX sms service XXX million REWARD at XXX XXX X FREE Kepo 3hrs continue 2200/3hrs,id,Ads,promo
we be find one fraud chorr person name- V Bhanu Chander have take moneed company loan and overdue by XXX day .Father name be veeramalla srinivas please tell him to pay moneed loan and police be find him call XXXXXXXXXX Receive from SIM1 Cellone 10:30 AM,en,Fraud,financial
Good evening you become a suspect of embezzlement of company money Your number be currently be track by the police Please soon,id,Ads,promo
We have try to contact you You be the 2nd winner of our lottery X Luana X Giordano your prize www.bhb.life/i4/ n XXXXXXXXX,it,Fraud,prize
Hi How RU FY SY HSC Failed Do n't Worry Complete TY in X-X Months.BA BCOM BBA BCAM BA MCA M.TECH B.ED XXX Success Authorised University.Cal Uday XXXXXXXXXX,en,Ads,promo
Tn Pn JULIATI BINTI JUSOH we still havent receive the pymnt for your TM final acc U600323215510 RM868.25 and TM will initiate legal action Call XXXXXXXXXX for info Pls dsrgrd msg if pymnt have be make,en,Fraud,financial
"Selected as winner of £ 6,500,000 on BET365 Promo Go to www.na65.net to claim",en,Fraud,prize
CSAM After several reminder your СOVID XX crisis compensation of € 325.86 have not yet be use You be entitle to this so verify your data once before receipt via http //s.id/vo4qd,nl,Fraud,covid
Dawn take a look at this photo do you still remember who be stand on your right chat-v.com/s/d4d8g6,id,Ads,other
SERVING PESUGIHAN TAMPAHTUMBAL Magic fund Pellets amp witchcraft Fetal transfer Asmarah ETC You can contact wa XXXXXXXXXXXX or click bit.ly/pesugihanuuang,id,Ads,promo
Announcement .. Congratulations No You enter the category get Cash Amount of RP XXX million from Pt L Z4D4 ID PIN LZD4389 INFO ID Click www.jutawan-lazada.ga,id,Fraud,prize
We have place your account in the quot quarantine zone quot You must confirm your device before XX-XX-XXXX to avoid blocking http // mijn.Ing.nl.id113.website/,nl,Fraud,account alert
Pawn BPKB Motor Car Pick Up Truck Fast Safe amp Can Take Over Interest Starting from 0.86 amp Non BI Checking YUSUF INFO XXXXXXXXXXXX,id,Ads,loan/gamble
Dear customer your Airtel sim Number have be b lock for XX hrs please Ekyc Update submit Addhar Card Today please call customer care XXXXXXXXXX im mediately 12:37 PM,en,Fraud,account alert
FedEx Your shipment be about to arrive track it here http // lamanofestival.com/fedex/ kdrytkito X,es,Fraud,delivery
Dear Pegadaian Customers Need Business Development Funds amp Farmers Rent Capital Only 0.95 Per Month Easy Fast amp Safe Info Nearest Pawnshop XXXXXXXXXXXX Arum XX min via TELKOMSEL,id,Ads,loan/gamble
ABN AMRO Your current debit card will expire before use Request the renew debit card for free now and prevent blockage via http //bit.do/ ABNAMRO NL42,nl,Fraud,credit/debit card
Hello +336 За receive an urgent request for an appointment on March XX click here bi to listen and respond quickly,fr,Fraud,other
You still have an outstanding claim with reference XXXXX of EUR 393.81 Pay today via IDEAL linksplit.io/cjib47092,nl,Fraud,financial
Dear customer Your debit card will expire within X day Prevent blockage and request a replacement pas free of charge Avoid block click here rabobankpas.nl,nl,Fraud,credit/debit card
Borrow a little get big money Ksami be at your service download and register.click bit.ly/ 2WsuNYB,id,Ads,loan/gamble
RMO Congratulations Thank you for be our loyal customer As a reward you be eligible to redeem the gift of a Perodua Axia car for select user Please visit bit.ly/ for more information,ms,Fraud,prize
MyEE We be unable to process your late bill In order to avoid fee update your bill information via http //ee.billing-infoverify.com/ account,en,Fraud,account alert
Your ING app have be block for security reason Click on the link to access ingbankieren.org/ XXXXXX,nl,Fraud,account alert
PAYTM Dear paytm customer your KYC have be suspended.Paytm office pH XXXXXXXXXX call immediately.Your account will block within XX hours.Thank you paytm team,en,Fraud,account alert
GOV UK We have issue a payment of £ 258.76 to all resident as part of its promise to battle COVID XX Please visit http // grant cov -19.com to apply,en,Fraud,covid
Your account have receive a quota of IDR X million today Maximum can be borrow for XXX day interest free 1. http //bit.ly/ yomicc2 2. http //suo.im/4qn6q9,id,Ads,loan/gamble
Dear Customer open a Danamon account and enjoy the convenience of send money with this service,id,Ads,promo
K4M1 MEN4W4RK4N 1K4N ARWANA SUPER RED Starting from tiller up to size 60cm info WA XXXXXXXXXXXX,id,Ads,promo
Shalom urgent notice for the USPS delivery 3R58D3 from 05/15/2020 Go to sm4x.info,en,Fraud,delivery
The new season of Fernanda Souza XX s talk show have arrive Watch this and the previous one with celebrity in fun chat bit.ly/2Gs5ccp,pt,Ads,promo
Google Service Dear Congratulations Your Google account have be recover successfully less than an hour ago Please confirm your identity use the following link http //www.google.com/url q http 3A 2F 2Fscript.goo gle.com 2Fmacros 2Fs 2FA Kfycbw3 || DYJI6rF6EzKCxLhgD GnSLOlxYK5KVVdUJVeZVUOQO W WB 2Fexec 3Fesubject 3D 26eto 3D,en,Fraud,account alert
KOPRASI SEJAHTERA OFFERS ONLINE LOANS LIGHT INTEREST WITHOUT COMPLAINTS QUICK LOAN PROCESS FROM XX million to XXX million Interests Chat WA XXXX-XXXX-XXXX,id,Ads,loan/gamble
Dear Customer Your PayTM document Has be expire Today.Please call us 7866037046immediately Your Account diactivated within 24hrs Thankyou,en,Fraud,account alert
This Rek XX s Cream BRI XXXX-XXXX-XXXX-XXX a/n DESTI HERLINA,id,Ads,promo
Dear customer You have not yet complete the IBAN verification and My ING be block Follow the step on verification-ing.com to reactivate your account,nl,Fraud,account alert
Your quota have be increase get it as soon as possible link http //bit.ly/3ibqZFX Or http //bit.ly/2QSooEz Or http //bit.ly/2EHmYdQ,id,Ads,promo
YOUR CARD THE CHEAPEST SAKTI CARD COMBO SAKTI QUOTA up to 15GB FULL XX HOURS XX DAYS FREE XXX min call and XXX SMS price start from 75RB Buy at Aldi cell Outlet,id,Ads,promo
.. s your OTP One Time Password for log into the OYO app For security reason do not share the OTP,en,Fraud,other
Hello Your tax refund be be process Please confirm your identity http // tinyurl.com/impots gouvr Thank you STOP XXXXX,fr,Fraud,tax refund
Last X Hrs Left to Activate your XX Amazon Coupon for your Book Writing Publishing Click Here book-writers.com to Activate Now,en,Ads,promo
SOLUTION TO CLOSING CC amp KTA Dizzy with CC amp KTA Bills Dizzy pay for minimum Payments MAX XX CLOSURE disc In CICIL MAX 60x Interest X Regina TLP XXXXXXXXXXX,id,Ads,loan/gamble
Hello Louis Aliot be count on your vote on June XX if you can not come we can help you Call us on XXXXXXXXXX or write to perpignan XXXX louisaliot.net SMS address due to health constraint STOP XXXXX,fr,Ads,politics/election
Welcome to PayTM your KYC do successful your wallet get XXXX rupee kyc cashback in wallet click in link and login your http //6c0bc0d8.ngrok.io/ paytm,en,Fraud,financial
Dear Pyatm Customer your Pyatm KYC have be Suspended.pyatm Office PH XXXXXXXXXX Immediately.call your account will block within 24hrs,en,Fraud,account alert
Your Netflix account will be lock because your payment be decline qvo5j.com/VYOCGL2SUT,en,Fraud,account alert
"4YO G4BUN6 PRO6R4M 1NV35T4S1 600rb GET 7jt 1jt GET 15jt 1,5jt GET 32jt 2jt GET 40jt 4jt GET 80jt 5jt GET 95jt Info klik www.recoverydana 98.com",en,Ads,promo
Dear Customer Your Number be Chosen Get the 2nd prize of IDR XXX million from PT LAZADA WINNING PIN 77M2477 Complete info Click visit official Bit.ly/lazada499,id,Fraud,prize
"Your CIM CARD be Official M get Rp 100,000,000 Pin Code c27d4k1 info click s.id/undian-99",id,Fraud,prize
My name Withdrawal request from new Device IP Russia Moscow View Edit or Cancel ledger.com-device.id ■ .app activity,en,Fraud,account alert
Dear PAYTM customer your KYC have be suspend To Verified PAYTM KYC call XXXXXXXXXX immediately Your account will be block within XX hour,en,Fraud,account alert
Assalamualaikum Mr. Ms PLEASE Sorry if it bother you if you need MOD4L US4H4 ETC BUNG4 X per year Starting from X million to XXX million Please Chat quot WA XXX-XXX-XXX-XXX Text message 1:49 PM,id,Ads,loan/gamble
Free Mobile remind you of the regularization of your bill Please complete the following procedure click http //cutt.us/ EwWMp Customer ID JWNOYA5V,fr,Fraud,financial
Your favorite Levi 's store in Select City Walk Mall Saket be NOW OPEN in an all new avatar Get exclusive customize Levi 's trucker jacket and jean at Tailorshop T C To opt out call +919986452499 Celebrate Diwali with Levi 's Get an ANTI THEFT BACKPACK on purchase of Levi 's apparel worth Rs.7999 or a DUFFLE BAG ON purchase of Levi 's apparel worth Rs XXXXX absolutely FREE Also get an assured GV worth Rs.500 on all purchase T C To opt out call +919986452499,en,Ads,promo
Dear customer your KOT.K MHINDRA BANK A c will be close Please complete your verification Please click on this link http //bit.ly/2UQEDE4,en,Fraud,account alert
NSP PROMO Rp X 7hrs bls SMS type YES to subscribe to NSP Kala Cinta Teasing NOAH Info tsel.me/nsp CS XXX,id,Ads,promo
PRIZES AT THE END OF THE YEAR Congratulations to you for win a prize with a PIN LZD4389 Please verify your PIN at bit.ly/hadiatahunan47 hub XXXXXXXXXXXX,id,Fraud,prize
We Offer Online-Based Business Capital With Low Interest Free WhatsApp Chat INFO XXXXXXXXXXXX,id,Ads,loan/gamble
RM0.00 Vanakkam Are you look for the truth Tired of election time lie Get permission here www.thenijam.com,ms,Ads,politics/election
BNPPARIBAS Your easybanking login expire today Log in to extend your access and prevent blocking http //bnp.leren-registratie-be.com,nl,Fraud,account alert
"Your pension Rs 70,000 can be approve under Yojna Click Here https //wow.link/eP6",en,Fraud,financial
tia yesterday saw you cross the road look at this photo chat-v.com/s/9htv|4,id,Ads,other
Tax Authorities Your outstanding debt with reference BD199768 have not yet be pay after several reminder On March XX XXXX the bailiff will proceed with an enforceable attachment You can prevent this by immediately pay your outstanding debt via http //bit.do/BD199768,nl,Fraud,tax refund
ARGENTA Your app be log in on 09/12/2020 21:11 from an unusual location If you be not verify via http //arghome-environment.info,nl,Fraud,account alert
OYO LIFE Diwali Dhamaka RENT FREE OCTOBER Book use code OCTFREE move in between XX-XX Oct to stay free for rest of month Visit bit.ly/2mviRZ7 T C apply,en,Ads,promo
We offer sharia-based ONLINE loan from X million to XXX million interest X info WA XXXXXXXXXXXX,id,Ads,loan/gamble
URGENT CALL XXXXXXXXXX You be short list by Company You will come to Company Please Download LETTER by Link WWW 6565464545.blogspot.com,en,Fraud,other
Dear Customer Your P team K Y C have be Suspended call us XXXXXXXXXX immediately Your account will block within XX hr Thank you,en,Fraud,account alert
We have the responsibility of develop our nation Let us all contribute to the betterment of our country Airtel 17:14,en,Ads,politics/election
Dear customer your application number XXX the name of o be verify The issuance of the identity card be under process for more information please visit www.ica.ae,en,Fraud,other
Rappi Today and just for today you have XXX to order everything you see in the app Go ahead and order now T amp C apply http // r appi.app.link/ rc,es,Ads,promo
BSNL have instal Quality Telecom Network in the country now focus on improve it,en,Ads,other
WHATSAPP Miguel Valderrama a companion who live there Hey your GAMER April thousand game now My Play and Participate for PS4 FIFA XX but Bases in http //goo.gl/hCNafa,es,Ads,promo
SANTANDER Your Super Password be block for security reason To activate it you must enter here http //banksantaandermovil.app sms= santander,es,Fraud,account alert
Dear paytm customer your paytm kyc have expire contact customer care No XXXXXXXXXX immediately Your account will block within XX hr.thank you paytm team,en,Fraud,account alert
Your parcel be be hold at our depot due to an unpaid £ 2.70 shipping fee Please pay the fee before Saturday XX February XXXX otherwise the parcel will be return to sender http //royalmail.co/ schedule delivery GV666230065GB,en,Fraud,delivery
DHL Your package be arrive track it here https //cutt.ly cjGJOtF,es,Fraud,delivery
NEEDED FUNDS Fast processing Secure Sharia-based online without usury by the ksp Nasari group offer loan of -X million to XXX million WHATSSap XXXXXXXXXXXX,id,Ads,loan/gamble
I decide to reopen almost all non-Parisian bistro as of today Book from this noon on www.pasparisiens.fr free valet parking Stop XXXXX,fr,Ads,promo
Your parcel have just arrive at the sort center click on the link to track your package http // bit .ly shipment completion In order to receive your package it be important to pay the shipping cost,nl,Fraud,delivery
Hello BORJA ADSUARA your shipment be deliver on XX XX-XXXX at the delivery point See where you can pick up your package here http // ask comma.com/url/ gha2mwejg53,es,Fraud,delivery
Important Coronavirus update in your area http //bitlynow.com/ MTM1MTAyNg,en,Fraud,covid
Is hafte yaani ki 15th se 21st January ke beech Uber de raha hai SPECIAL REFERRAL INCENTIVES un driver ko jinki khudki gaadi nahi hai Is hafte agar aap X se zyada logon ko refer karke unse pehli trip karwate hain toh aapko milega X gm gold coin woh bhi sadharan incentive ke upar Sadharan Incentive jaane ke liye,hi,Ads,other
Ma XX be a lawsuit have be file against you The police be already on their way because you have already be locate,nl,Fraud,other
CaixaBank We regret to inform you that your account have be deactivate for your security we ask you to complete the following verification http //bit.ly/3n7udom,es,Fraud,account alert
Get funny comic here Please download your content Click http //bit.ly/2fe2dt1 Data rate apply CS XXX-XXXXXXXX,id,Ads,promo
Please update your Revolut account with the new card request failure to update will block your account thanks to https //revolut-italia.com,it,Fraud,account alert
KBC We have place your account in the quot quarantine zone quot You must confirm your device before XX-XX to avoid blocking http //www-kbc.icu,nl,Fraud,account alert
DVLA You be eligible to receive a tax refund of 805.07gbp Please submit your request via uk refundfina.lgive back .co.uk gov,en,Fraud,tax refund
wegotu this SUMMER with 500MB data 100MTN MTN minute for only R65 valid for XX day Dial XXX select SummerSurprise for daily weekly deal now,en,Ads,promo
DVLA Due to recent calculation you overpay us by 203.07 Please follow the link below to process your repayment http //dvla.refund-form347 .com c X,en,Fraud,financial
Dear sir Congratulation You be product order Paytm mall company At Paytm mall shop tv show the result be out in Paytm mall Your name to open the luky drw Tata safari cost RS XXXXXXX at The charge of your REGISTRATION Service payment RS XXXX Details contact XXXXXXXXXX,en,Fraud,prize
Your hardware wallet have be deactivate You be require to pass verification due to the new KYC regulation ledger.com.device.id.756728.app/ verification,en,Fraud,account alert
Buy X Get X Free Mozzarella Cheese Burger Coke Only 50.000 Exchange SMS only today at Burger King Nearby click http //bit.ly/tselbk4 SKB.Promo XXX,id,Ads,promo
PEHLI BAAR XXX pe XXX Offer Sirf X din ke liye Rs.500 ki FREE shop Rs.500 ki khareed per only V MART Aligarh store HURRY T amp C,hi,Ads,promo
Oups .. Trouble with your payment Update your billing information on the following link http //bit.ly/2NXMRda,en,Fraud,account alert
afternoon .. don XX t keep busy it XX s be a long time since we haven XX t talk please call me at XXXXXXXXXXX,id,Ads,other
On behalf of airtel you can call to get X lakh XXXXX thousand rupee,hi,Fraud,prize
Correos Express FAILED DELIVERY Rejected Package For a new delivery click here http //jinja9ja.com/v/ x7p11qj56rtz,es,Fraud,delivery
Vodafone Dear customer you will receive a refund of € 25.00 Complete the verification with your account to receive the money at vodafone-service.nl/ vodafone.html,nl,Fraud,financial
BPJS INFO You receive assistance fund from the BPJS Central office For info click Bit.ly/bantubpjs health,id,Fraud,financial
"INFO Tr khir nd md ptkn Rp.175.000.000,00 dri GIVE4.W.4.Y ID CK805KU klik tinyurl.com/giveawayinfo2021 Whtspp XXXXXXXXXXXX",ar,Ads,other
ALERT A suspicious login to your PayPal be make in Manchester on 7th of AUG at 5:49 PM if this be not you immediately visit http //user-id214.com,en,Fraud,account alert
X Dear customer You be in arrears of €8.33 Avoid extra cost pay directly via http rvices secure XXXXXXX id dae36618cb85,nl,Fraud,financial
"Diwali Dhamaka Offer Congratulation You Are Winner Of Shopclues Company TV Show Online Shopping Centre You Won The 1st Price Tata Nexon Car Our Amount RS 6,90,000 Please You Have Pay Company Registration Charge -RS -6,500 In State Bank Of India Date 24/10/2019 Deposit Details For Contact Me Helpline Number Toll Free XXXX-XXX-XXXX WhatsApp Number XXXXXXXXXX LOGIN WWW.SHOPCLUESONLINEWINNER.IN",en,Fraud,prize
"THIS MOBILE NUMBER HAS WON 450,000.00USD FROM SMLPRO REF XXXXX FOR INFO CONTACT MR ANDREW WITH YOUR NAME ADDRESS AND NUMBER TO EMAIL FCENDEPT USER.CO M",en,Fraud,prize
Due to the Coronavirus pandemic around the world Netflix be give some free pass to its platform during the isolation period Run it on site because it will finish fast http //netflix-usa.net/ periodo-de isolation free,es,Fraud,covid
YOUR MOBILE NO HAVE WON 4.6 CRORE RUPEES FROM SAMSUNG GALAXY PROMO TO CLAIM SEND YOUR NAME AGE ADDRESS MOBILE NO OCCUPATION REPLY TO samsg0238įgmail.com YOUR MOBILE NO HAVE WON 4.6 CRORE RUPEES FROM SAMSUNG GALAXY PROMO TO CLAIM SEND YOUR NAME AGE ADDRESS MOBILE NO OCCUPATION REPLY TO EMAIL,en,Fraud,prize
Triodos Bank Your authorization for EUR 1601.48 to VOF Spilda have be approve If you be not familiar with this direct debit cancel it now via rplg.co/TRIODOS,nl,Fraud,financial
Domino 's Wolverhampton Two for Tuesday Buy X Pizza Get X Free Every Tuesday Tel XXXXXXXXXXX or dominos.co.uk T Cs OptOut STOP TO XXXXXXXXXXX,en,Ads,gamble
Mark White NIC launch Going all out Witkoppen Rd Fourways Free Service Plan Upgrade T C Fantastic deal Food coffee entertainment XXX-XXXXXXX,en,Ads,promo
ING We have place your account in the XX quarantine zone XX You must confirm your Mobile Home Banking on your device before XX-XX-XX to avoid blocking split.to/dcVizww Thank you in advance for your cooperation ING Customer Service,nl,Fraud,account alert
Congratulations The result have come out and your post code have be choose You be X of the X winner gt gt http //ulk.us/3Vj15z,es,Fraud,prize
The collection of your Cov19 Insurance X XXX peso monthly cost will be charge to your AMEX card This message be only the confirmation to cancel visit byt.lat/ ax.php,es,Fraud,covid
Hello thibaut your order be deliver on 01/09 at the collection point See where you can pick up your package 08lr.com/PSxAz,fr,Fraud,delivery
TV broadcast be not clear replace the satellite dish today free dozen of channel forever without monthly clear picture ONLY XXX THOUSAND Tel wa XXXXXXXXXXXX,id,Ads,promo
Jennifer send you the wrong link last week Sorry This be the correct one http //ptrnh.com/3115,en,Fraud,other
INGDirect Your ING account XXXXXXXX have be temporarily block To activate your account you can access safely from http //cutt.ly/uwpo03A,es,Fraud,account alert
Welcome to paytm payment bank your kyc do successful in your wallet get XXXX kyc cashback click in link and login your paytm http //2a3d41ec.ngrok.io,en,Fraud,financial
PAN Aadhaar X min Instant Personal Loan Approval Get up to X Lakhs Instantly Apply Today http //gfdk.in/s/GA400 JUrco,en,Ads,loan/gamble
you have your PreXtamo approve and wait for you in just one minute it can be yours Get it sea 1:47 p. m,es,Ads,promo
DECISION LETTER FROM PT.SHOPEE INDONESIA Congratulations you M get a cash check of Rp.175 million WINNING PIN 25F4777 U INFO CLICK bit.ly/undiansho-pee73,id,Fraud,prize
Tax Authorities Your outstanding debt of EUR € 743.00 have not be pay after several reminder On May X XXXX the bailiff will proceed with a prejudgment attachment You can prevent the attachment procedure by immediately pay the entire amount via iDeal http //frama.link/ CPZHUBQR,nl,Fraud,tax refund
"To celebrate the release of the new Celsius Web App HODL your crypto with the Web App and receive up to 2,000 in bonus http // celsius.loan/",en,Fraud,financial
ING Your ING debit card be outdated and will expire on XX-XX-XXXX Request your new debit card completely free of charge via http // e-retail login.info/ING 04881/log in and prevent blockage of your current debit card,nl,Fraud,credit/debit card
PT LAZADA XXXX for quot good luck your number officially win a prize of XXX million with a pin code XXXXXXXX to make sure you check your pin at www.lazadatbk647.blogspot.com,id,Fraud,prize
We have try to deliver your LP995215701FR package but there be no postage Follow the instruction here http //bit.do/fK64D,fr,Fraud,delivery
XXXX SqFt X BHK In DLF Garden City Gurgaon At Rs 1.25 CR onwards With Terrace Basement Call XXXXXXXXXX,en,Ads,promo
Duelz casino be finally up and run as we have be wait for Duel against others and play without an account here today http //bit.ly/2QrU6GG Optput http //bit.ly/stop9,sv,Ads,gamble
You have a pending payment of 265.84GBP from HM Revenue Customs To proceed please fill your form below govuk.ref7911.com,en,Fraud,tax refund
CPAM SANTE After the last check of your health insurance file we have determine that you will receive a reimbursement of 520.67 euro Please complete your reimbursement form and confirm it via the link below http //assure-sante.org/compte,fr,Fraud,financial
Triodos Bank Your authorization for EUR 1601.48 to VOF Spilda have be approve If you be not familiar with this direct debit cancel it now via rplg.co/TRIODOS,nl,Fraud,financial
Your parcel be be hold at our depot due to an unpaid £ 2.70 shipping fee Please pay the fee before Monday XX February XXXX otherwise the parcel will be return to sender http //royalmail.co/schedule delivery GV670517065GB,en,Fraud,delivery
PostNL Your package have arrive at our sort center Follow your package via http //postontvangen.nl/postnl/postNL .php trxid 5eff973d403a6 Sat 02:29,nl,Fraud,delivery
Bills due next week XX FEB XX AIRTEL XX XX FEB XX LIC XX Track your Expenses Bills with Walnut One App for All Banks http //wnut.in/GetBillAlert,en,Ads,promo
Congratulations your number be register with BPJS Indonesia Order X M get assistance of Rp XX million U info bit.ly/BantuanBPJSthn XXXX then Enter your PIN Locked XXXXXX,id,Fraud,prize
HALIFAX ALERT A payment be attempt from a new device on 09/11 at 18:19 If this be not you please visit http // halifax-online-verify.com,en,Fraud,account alert
Ameli Account After the last verification of your health insurance file we have determine that You will receive a refund of 679.80 euro Please complete your refund form and confirm it via the link below http //bit.ly/ 2QNSN7W,fr,Fraud,financial
Your Santander account have be blocked.To activate your account you can access safely from http // client -santander-acceso.fs-consulting.co/,es,Fraud,account alert
Congratulations No You Win 2nd Prize CASH CASH Rp.175 million With PIN 25F4777 U Info click tiny.cc/shopeeid878,id,Fraud,prize
Dear relation Download the new ING app with renew certificate now and make the most of it Log in to My ING and follow the step,nl,Fraud,other
YES BANK Personal Loan New Rates 10.75 IF YOU HAVE Other Bank PL Transfer 11.99 We Do NON YES A C HOLDER ALSO TO APPLY CALL Tamanna XXXXXXXXXX T C,en,Ads,loan/gamble
best cell plan for those you love 9.5GB of unlimited internet apps and voice from TIM Controle in your,pt,Ads,promo
Interested in Shopping Auction Goods Due Original Letters Invoice Complete and Guaranteed click the link below http //bit.ly/infoproduct-lelang,id,Ads,promo
PELET AND PESUGIHAN shaman Like -Pesugihan -Asmara -Long distance witchcraft -DII Powerful guarantee success without be victimize by WhatsApp XXXXXXXXXXXX OR CLICK bit.ly/ahlimistik,id,Ads,promo
Facebook Suspicious activity on your Facebook account click here http // corporatefokus.com/t/ 6fijy21041099,es,Fraud,account alert
ARGOS Congratulations you 've win the £ XXX gift Your gift be valid until Sat 18th January http //bit.ly/ ARGOS 36VWfCW,en,Fraud,prize
XX Payment for your late bill could not be process by your bank Please update your payment information via http //myo2.bill210.com 02=2,en,Fraud,account alert
